repo_name,sha_ids
aosp-mirror/platform_frameworks_base,733978be4c89b81e59d4562e86576760037cac70;f5f290cce9df2e3532d0be5403b98621b53a8cc9;fcea0ec0195c93798572101ea9ce70081a4f174c;3f3913550c10792edb8aecf66cc83c3db5c8b311;7bdb096289d10983f6fe711ecd598e350c9a9587;7c12eee6439435d7f29d49cab76edaedbd809460;2ecbe69ddd4fc93e83c2810ab88abb03e4f9f718;7a32fba76a15d356d929b35db516fcf3f136defb;8068618ebed021c445db0919843cdb6b9b9e35b5;f83464ed0a1c9215f4100fa018061710ed722ef5;ed7e00729f78d11107f0e9a7f0559dfe4be6b560
aosp-mirror/platform_dalvik,48a2061356d1269fbd04420d9095ca7dd5e54901;399fbc0d87bbe4f2808cb582dc23f932432ea846;45fd158052a5ebfc57e7a063c6990da5ae019aac;3e5b456ad3c5843a95882f10028257a0a5f9866e;c03da3e87a0537b211f2300d594597d84898b8f7;da9dc84a1296a11efce0b656cbc87c7112994d0b;9fdbd91288a237eb58e18e4de9c729c3c268c318;44a3484d9ba75aa88c0f3187a9c0ef56e892771b;6b1f9f877b70fcc5375fa33a445ac84777757eb2
aosp-mirror/platform_packages_apps_contacts,fe4f03cd0ca38e446f7690e1b5e076e65530bb37
aosp-mirror/platform_packages_apps_camera,2c28c55197bd37f1f199dd9884c4bfca7ea6ff0e
apache/zookeeper,a79aaf38e4842f419269bdebf3bd1409bac81f7e;4a1154ac082506a3269e47e51ff2f600b6d28d07
apache/cassandra,9c5274b4cd0448af42cb3da8dc6d9a4422355a06
apache/nutch,492897c3d041476a953c2d1077d9481512a6838c
apache/commons-lang,bb5244814ca59d1ce896e68fdbe0dc8928b32532;3efd6ccdbf1131b8d0b2677cbbdb41d7a23929f0;dcfba435bbe1129f7e3e0a52ff709927768e3559;655050f6fdefc474caf6c6e28dbe8ef63da2f395;3eebd98b548fc960a7cd9d14eb0771b14615e9a1;887d935024ec45d4c22c2676c0c2972c39462fc8
apache/tika,55caab732574518e8676ec9718da05bde1c1ce8f;0bf11aec86079b8f1ae2f1ea680910ba79665c4f
apache/httpcomponents-client,3e8ed5a22aa8ef24529da17ca456feb1d085e954
apache/mina,ead3e3a696a031320f1f182d960da99ea481e073
apache/commons-io,c604d60e0f41a91707cac93cff04ad15874280df;63eba2740e08ede085c78b131bc1a9c3f1d5ddb1;50402e2c494d0b88f13f80cc76c914dadf350ab9;8cdf22e417fd6f62e3052aa79c6c94c5adc167d7;64926ebd3cb0f771916946b48c774709d6308356;61bfd7be89e97e204caea839e37c67c6f837a710;6386350306daf5f5fbc3fc15ad291804c9349f94;1daa7cb1c8d2abe9caaa4c6f568e00217ce18da5;d8fe96fbe09ae5f7d644c55c4d61aad6132870fa;11c95251bc5923b32fe3b8e9fd9f0fb51c563c57;60b61dabc7927afaa4a7205046d889a2daef2293
apache/commons-codec,1e2151c26bccea33125da79e7c616c2c55edc855;fb78cbb077f6b0b6405ab0c7d74c7c3cce29bf9b
apache/httpcomponents-core,9cc9885c895884ddf8341540257d137e1bc732d4;54f8ab05d65afc6f8914680a5dd0f166e0e1bad7;92d3b62cf95091b13954ada6519721834ec29ce0;f8949608698c739093e3a0ae07efd4823f346fec;ceba441a5db92bb536789e74e82d220cf5f96306
apache/commons-cli,321a9d79aabec6850e688d1408dba8d9aec8c231
apache/qpid,641f048cb8b86be0304441a6227759d7ad420ff3
apache/xmlgraphics-batik,1177cd0b3e76a1ba39efe360d457c87be34cec60
apache/directory-server,7cd7c9e465e9e07b5d567c2ae19581d904114255
yaxim-org/yaxim,6d037a4e762dfa5c7ec758e1945d60291f7a03cb;0e54f7cfa0381bce62ee5ded2cf1542ec1847e22
cucumber-attic/gherkin2,9b30d1ef78d3c61e96b061fec09fc018ece5497f;ae3c95e5e78c6afb690c2e93af1358a665eea4d0
projectccnx/ccnx,09353922bd3c50c0cf08bd8fc796fee84b788ffc;c95246513f87080198638c81d4a271e0973e2435;1e825dd2ddb8721e76ebad70705fd34b4dea2045;293bfe17f7efc5cc06ae48807def5e6a3bc597da;79bb2051499a3bdfa02a664f74f9e3bbd6661413
liferay/liferay-portal,cd4dc25921b9b1864f9c6e7bf97b88dddec0b371;de11c57106c67604fde54bfd1987a05ad1561bf8;0d4d76c9260c721bdf36bd78d9dc9eab02550f9f;5a9b1d9482a136dcd8a3104376646eb082414b3d;7c72cacf387cbf057be813864aac698a42505f25;6e5853b91d777aca52ea8239274d0593048f866e;cd550e7d92ef4a2d6f21aeaa211596221dd1fb3b;0bdf113eb76a4823eff0d82fae11a4be7a88a285;7269300f5be23b1ee892a2ae442c52df82183199;54144cd7a1df96fd37fb3ab66077a246a548cbea;cfc36006ebce4f87b3c21f9a2eb0570d61e91b91
huxi/sulky,965237b6c27c11ef43436c0a2b69ae50f327fb1a
jhy/jsoup,83ad1bc40f08cbdd2994695058580972e7499381;0993f66ce330ccfbd84a65005ed1b2f1ae167d81
elastic/elasticsearch,62fb3337a604c80803b4b7f8d7eaa3cccc9e8346;b3a4a89151175f23ff4f09202c28e35a87d0da42;4f58cf24f819f162ad2ec286c4bc2f6b956339f9;7192c4630772fc205ca005648adf9667dbd48d17
bndtools/bnd,e0987e2caf0e3438bb54562347883c492f209708;0a77d4784f5dc43a6a08c3e3e7f56b31b0e1d6a0;e64655294f42e46d1a996c98aa8324376237fa56
graylog2/graylog2-server,6409181a520374d7fcd7906f8b8faf079ae15d64
apache/jmeter,70f1999cc47d78bf8bb87f222e6b5418f6ce59e4;5991c46d9656e807161ce716022de14be1a2738c;fcd4897a7f3ccaaed631ed2d2ba2e546b788aa63
vrapper/vrapper,a70a91079ca16a0333b6608743187cd9a4e6476b
cyanogenmod/android_packages_apps_camera,2c28c55197bd37f1f199dd9884c4bfca7ea6ff0e
lmco/eurekastreams,5cbbf9297b7fce9816ded354f4cd4034f48c8908
cyanogenmod/android_packages_apps_contacts,fe4f03cd0ca38e446f7690e1b5e076e65530bb37
cyanogenmod/android_dalvik,48a2061356d1269fbd04420d9095ca7dd5e54901;399fbc0d87bbe4f2808cb582dc23f932432ea846;45fd158052a5ebfc57e7a063c6990da5ae019aac;3e5b456ad3c5843a95882f10028257a0a5f9866e;c03da3e87a0537b211f2300d594597d84898b8f7;da9dc84a1296a11efce0b656cbc87c7112994d0b;9fdbd91288a237eb58e18e4de9c729c3c268c318;44a3484d9ba75aa88c0f3187a9c0ef56e892771b;6b1f9f877b70fcc5375fa33a445ac84777757eb2
cyclestreets/android,83e0dd33e1252d6b9f5ac9ad58ee6aea4269cccf
cyanogenmod/android_packages_inputmethods_latinime,89dfb2bae171956dbcc880c9192ff29949388770;61de759f2dd850bb785f05460cfeff7a24df4371;5f4ebfc67b38bbdc8612ec26af1d8e2cd065dd0f;fcee70ea9283af0a9e40d87ef5902ba5b8ef6763;f0a980966264fa98ef8e1b834650d9bf54de92ae;7a408431fe6b77bc7a317b86c7adfb1aeebd5def
robolectric/robolectric,6c91a748d1b489ac88b4cb397ffb2fe222b07ff4
go-lang-plugin-org/go-lang-idea-plugin,71512a1a0bc0ee3e1558028c83c63ce463b7708a
arduino/arduino,10019bb0df0bab61d6b26cbc7342f5aee44969f6;00706284dec3171646419839bd4a9e3f1c2d7088
geowebcache/geowebcache,0af041ee22ef9a72aaee589ad00c591419d537df
apache/commons-validator,85ce1d6226e30235782e2ebf9cfdea99b97adb45;de7a2666a98ff6c65e1993aa23829ba30a1e61a1;dee5abd5c38c5274b7ee88b15dd1bb90b4212690
hibernate/hibernate-search,5e73c9c5ca9640e64b667daaf0a9310d5c44f6fd
enginehub/craftbook,7d58dda5ac1da062e764792db17e7a67bdc9b0f1
netty/netty,3634f6a2e21c417f75e3d982c3675f87eb9611fb;0b16006fd74bbef93d984db3cf8f653fa455d1d1;4332821e6f501c4b721314846e8f00d8ab82de69;44daa99d3f9911e4cf016b4ac873833852cca53a
infinispan/infinispan,3b4129949630a9fda0348a5d07661ecef295fb57;e499e3fcb39cc64e587b1248a419e292e2b08ef9;67110c4aafff7801854244f0dd3d59c2591db847;2798055e5aaa58da2df64e577891f94fe9b59541
novoda/sqlite-provider,9da6993407df3998ada40d70364029dde66f2cc4
enginehub/worldguard,39bb52205173ce9f754a75b003ff68575fc7d392
rstudio/rstudio,710f9b06faae4b91fd1f5cdcf1c03ac8dc530cc5
jenkinsci/warnings-plugin,0455b1e8ab6fcaa02e5ab1c58344972bee645eef
jenkinsci/jclouds-plugin,5d709fb53ad9ed5894557a6588e84c9fb34361a4
sandsmark/quasseldroid,723e8be8a7117e552f680e7f50e67e0beaf64b8d
neo4j-attic/graphdb,2d833b55d2fdefcbc19f0d9725166a898c4d9d18
mifos/head,5f99639824165217eeb29193fa79c44aa228b0ba
twitter-archive/commons,7b0d1f5e35b6c0b2ca339b5dbddea2e3774a0916
xwiki/xwiki-platform,f4425bf1c9cf8130346522b9f447ddd6d84a1e1e
kong/unirest-java,d5568e83ae6e3a036f5aeee823db0af93258104f;86def005a809b7d816f4f59ec2ceda902ae0a07f
